warehouse_id,product_id,date,quantity,id
0,71165,2020-12-02,1,0
0,71165,2020-12-03,3,1
0,71165,2020-12-07,2,2
0,71165,2020-12-08,2,3
0,71165,2020-12-09,3,4
0,71165,2020-12-10,1,5
0,71165,2020-12-12,6,6
0,71165,2020-12-13,4,7
0,71165,2020-12-14,4,8
0,71165,2020-12-15,9,9
0,71165,2020-12-18,1,10
0,71165,2020-12-20,3,11
0,71165,2020-12-21,3,12
0,71165,2020-12-22,1,13
0,71165,2020-12-24,3,14
0,71165,2020-12-25,1,15
0,71165,2020-12-26,2,16
0,71165,2020-12-28,1,17
0,71165,2020-12-29,2,18
0,71165,2020-12-30,3,19
0,71165,2020-12-31,5,20
0,71165,2021-01-01,1,21
0,71165,2021-01-02,2,22
0,71165,2021-01-03,3,23
0,71165,2021-01-04,1,24
0,71165,2021-01-05,2,25
0,71165,2021-01-07,3,26
0,71165,2021-01-10,4,27
0,71165,2021-01-11,2,28
0,71165,2021-01-13,2,29
0,71165,2021-01-15,1,30
0,71165,2021-01-16,6,31
0,71165,2021-01-18,1,32
0,71165,2021-01-20,2,33
0,71165,2021-01-21,1,34
0,71165,2021-01-23,5,35
0,71165,2021-01-24,2,36
0,71165,2021-01-25,1,37
0,71165,2021-01-26,1,38
0,71165,2021-01-27,2,39
0,71165,2021-01-28,5,40
0,71165,2021-01-29,6,41
0,71165,2021-01-30,6,42
0,71165,2021-01-31,16,43
0,71165,2021-02-01,6,44
0,71165,2021-02-02,1,45
0,71165,2021-02-05,2,46
0,71165,2021-02-06,2,47
0,71165,2021-02-07,2,48
0,71165,2021-02-08,1,49
0,71165,2021-02-09,6,50
0,71165,2021-02-10,1,51
0,71165,2021-02-11,2,52
0,71165,2021-02-13,1,53
0,71165,2021-02-14,2,54
0,71165,2021-02-15,2,55
0,71165,2021-02-17,3,56
0,71165,2021-02-18,2,57
0,71165,2021-02-19,5,58
0,71165,2021-02-20,1,59
0,71165,2021-02-21,3,60
0,71165,2021-02-22,4,61
0,71165,2021-02-23,3,62
0,71165,2021-02-24,1,63
0,71165,2021-02-26,1,64
0,71165,2021-02-27,1,65
0,71165,2021-02-28,2,66
0,71165,2021-03-01,1,67
0,71165,2021-03-02,4,68
0,71165,2021-03-03,2,69
0,71165,2021-03-05,4,70
0,71165,2021-03-07,3,71
0,71165,2021-03-08,3,72
0,71165,2021-03-09,1,73
0,71165,2021-03-10,2,74
0,71165,2021-03-11,2,75
0,71165,2021-03-12,4,76
